,project_name,project_city,project_address,project_budget
1,Project Alpha,New York City,123 Main Street,5862
2,Project Beta,Los Angeles,456 Elm Avenue,7321
3,Project Gamma,London,789 Oak Lane,4659
4,Project Delta,Paris,101 Pine Road,8198
5,Project Epsilon,Tokyo,234 Maple Drive,2746
6,Project Zeta,Sydney,567 Cedar Street,6532
7,Project Eta,Toronto,890 Birch Court,9471
8,Project Theta,Berlin,111 Willow Way,5264
9,Project Iota,Rome,222 Spruce Lane,3876
10,Project Kappa,Madrid,333 Poplar Road,9123
11,Project Lambda,Beijing,444 Cypress Avenue,3485
12,Project Mu,Moscow,555 Sycamore Drive,6759
13,Project Nu,Dubai,666 Redwood Street,1587
14,Project Xi,Rio de Janeiro,777 Juniper Lane,4863
15,Project Omicron,Istanbul,888 Sequoia Court,7392
16,Project Pi,Mumbai,999 Magnolia Way,6234
17,Project Rho,Singapore,123 Rosewood Road,2947
18,Project Sigma,Seoul,234 Jasmine Drive,8712
19,Project Tau,Buenos Aires,345 Violet Street,5210
20,Project Upsilon,Amsterdam,456 Sunflower Avenue,6137
21,Project Phi,Cairo,567 Daisy Lane,9724
22,Project Chi,Prague,678 Tulip Court,4682
23,Project Psi,Bangkok,789 Lily Way,8456
24,Project Omega,Vienna,890 Iris Road,5379
25,Project Delta,Athens,101 Orchid Drive,6910
