supplier_ID,supplier_name,project_address,supplier_city,supplier_score,
1,ABC Electronics Supply,123 Oak Street,New York,8,
2,XYZ Office Solutions,456 Maple Avenue,London,3,
3,Smith & Sons Hardware,789 Elm Lane,Paris,5,
4,Johnson Manufacturing Co.,101 Pine Road,Tokyo,1,
5,Global Food Distributors,234 Birch Drive,Sydney,9,
6,Acme Industrial Parts,567 Cedar Street,Toronto,2,
7,Starlight Wholesale Clothing,890 Willow Way,Berlin,7,
8,GreenTech Energy Solutions,111 Spruce Lane,Rome,4,
9,City Auto Parts,222 Poplar Road,Madrid,10,
10,Best Buy Furniture,333 Cypress Avenue,Beijing,6,
11,Fresh Produce Suppliers,444 Sycamore Drive,Moscow,2,
12,Sunflower Garden Nursery,555 Redwood Street,Dubai,9,
13,Quality Construction Materials,666 Juniper Lane,Rio de Janeiro,1,
14,Techtronics Electronics,777 Sequoia Court,Istanbul,7,
15,Golden Grain Flour Mills,888 Magnolia Way,Mumbai,5,
16,Ocean Breeze Seafood,999 Rosewood Road,Singapore,8,
17,Allied Chemical Supplies,123 Jasmine Drive,Seoul,3,
18,Midwest Tool Distributors,234 Violet Street,Buenos Aires,4,
19,Crystal Clear Water Services,345 Sunflower Avenue,Amsterdam,10,
20,Elite Medical Equipment,456 Tulip Court,Cairo,6,
21,Reliable Plumbing Fixtures,567 Lily Way,Prague,5,
22,Pioneer Office Furniture,678 Iris Road,Bangkok,1,
23,Precision Machine Tools,789 Orchid Drive,Vienna,4,
24,Liberty Building Materials,890 Daisy Lane,Athens,7,
25,Sunrise Paper Products,101 Tulip Court,Budapest,9,
